method,score
B,28.308732996144094
B,25.052007567511627
B,30.814136308629266
B,23.941372667048174
B,35.880676666358475
B,27.502669391060024
B,21.57136977433487
B,20.71643000775555
B,26.92988966097274
B,24.106148858696596
B,27.85600197636837
B,26.89295049829418
B,24.708684349372508
B,21.61282512772638
B,18.940611101256543
B,23.213940191731915
B,28.42559517729389
B,25.856374976520815
B,20.017044885152046
B,25.692723703404727
B,26.541269518915346
B,21.46457025519547
B,25.61490042378211
B,25.232834873784
B,20.428118808677507
C,22.894468400870707
C,23.401961315920587
C,24.70762810793819
C,24.634505130087256
C,18.555826580107272
C,19.655437400212193
C,23.28758816802165
C,23.284464877280524
C,23.28761921576512
C,31.631828726636805
C,23.427226276732917
C,24.838914100451497
C,24.385004408733007
C,23.628478128264494
C,21.211826888399138
C,23.89742305123317
C,20.06793696365607
C,21.407953483149978
C,20.78659113042724
C,22.204685348465805
C,27.786646416683773
C,17.33183701852063
C,23.715650475936283
C,17.96821032202587
C,20.820170335526416
C,24.722376492418416
C,22.160700047738658
C,19.305638055176736
C,20.21174072685008
C,23.69899437233669
C,20.17408342070716
C,22.54114647395494
C,22.113929599759533
C,20.370999130985457
C,27.359860223313312
C,23.584797555795028
C,16.937143533355982
C,22.46613578692357
C,20.34553383807903
C,24.13108333699056
C,20.018698153918248
C,21.713158896332754
C,23.262468197451142
C,24.164387985425304
C,18.99925898236056
C,21.163746910397627
C,20.812636722097608
C,20.36667691856572
C,26.41363560070274
C,23.012454277402387
C,18.847790114162386
C,24.29465486763694
C,27.305390492531583
C,24.58116315137787
C,18.201575085114968
C,20.78941481783437
C,25.167277872966558
C,20.230826335953047
C,23.109548570365572
C,23.93658513357334
C,19.68267382105479
C,21.8511866098455
C,13.896831649827318
C,19.439030896664274
C,21.3685796215171
C,18.880542045087875
C,26.08102825982909
C,18.42464655509842
C,20.89988878325754
C,22.32685144321523
C,25.60318322266529
C,18.4103446220514
C,24.907909380387398
C,22.025582652548966
C,19.54622837238012
C,23.155258685658175
C,22.497649238933676
C,20.499457807103013
C,22.174505212475047
C,21.036716007845598
C,22.28379336312812
C,23.655326686302615
C,25.96504204036338
C,18.905461252932877
C,27.332583436640668
C,17.119780501193745
C,21.62053726241104
C,23.47079301621144
C,22.70247966933758
C,20.443251200448515
C,21.479694374106813
C,20.76749766335292
C,20.526588107639473
C,24.124005242552563
C,22.892538714912618
C,20.267726011848364
C,24.248999688583126
C,22.768248802191522
C,24.0321552970974
C,23.57407210480903
D,27.098517461772747
D,28.039366359310606
D,32.61552761793142
D,32.13629592901712
D,29.92684442112548
D,30.410645841580738
D,34.47182713525949
D,27.929500139074595
D,31.914840834095134
D,29.292325716481372
D,29.23811578870473
D,33.845718981955166
D,32.88895722145811
D,32.84728372600223
D,34.56917582504015
D,30.073513445714656
D,32.38683539953237
D,28.914066351922905
D,31.134582233709548
D,29.544499309713103
D,30.339485877474512
D,32.0830495890292
D,27.136227608682844
D,37.32335546489911
D,26.478939164751043
D,25.750339855242938
D,34.05338805725024
D,32.770819428870276
D,32.18441935968254
D,32.19920928242498
D,29.9571362950358
D,26.85960969979959
D,30.26531595367804
D,27.629934009707608
D,33.41291906696213
D,29.485299164742514
D,27.11075981122621
D,28.875149554214524
D,31.445260089964684
D,28.02696406518609
D,27.12222861551749
D,30.852905240221695
D,30.85738299888053
D,28.225698886201045
D,28.35136593033587
D,30.812174780751725
D,24.931704804759367
D,25.073876789682057
D,27.485445225616473
D,29.252934969008535
D,31.088176479593017
D,35.16374675932343
D,33.001808681207066
D,29.440215145128004
D,29.93344327234059
D,26.49114722376767
D,29.935204024026635
D,28.989694763779514
D,31.129514961183315
D,27.10469169756687
D,31.817712799844102
D,35.36458619550902
D,29.619339480401
D,31.405991027346296
D,32.415503970988894
D,28.59572834839957
D,30.78432368633646
D,30.04407340273628
D,30.341866344920913
D,27.29446575650587
D,30.0857856099063
D,31.742994019359074
D,35.07900262728265
D,33.35744789129822
D,37.536138601290446
D,27.314283529891828
D,33.053122228522376
D,30.64169702008423
D,37.66431026626185
D,27.170956001256968
D,27.060973552367283
D,27.902125740945923
D,22.566364964915678
D,28.159857424117337
D,27.343035684562057
D,30.526378252666728
D,31.196145915220058
D,36.5665979372556
D,33.32648343365118
D,27.98083720518159
D,26.855548650280745
D,31.72171710027277
D,25.37918377542775
D,36.41010568049024
D,34.128040422524506
D,28.357885217633534
D,24.004029148181928
D,34.73855330957895
D,29.599110541615836
D,34.33235709190711
